variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
IDH_glob_bin,1,0.9527,f1_weighted,,1.0,2,169,0.0,RidgeClassifier,False
IDH_glob_bin,2,0.8935,f1_weighted,,1.0,2,169,0.0,RidgeClassifier,False
IDH_glob_bin,3,0.9349,f1_weighted,,1.0,2,169,0.0,RidgeClassifier,False
IDH_glob_bin,4,0.9053,f1_weighted,,1.0,2,169,0.0,RidgeClassifier,False
IDH_glob_bin,5,0.9167,f1_weighted,,1.0,2,168,0.0,RidgeClassifier,False
death,1,0.6422,,0.208208290343627,,,99,0.0,RandomSurvivalForest,False
death,2,0.6344,,0.20043517530232788,,,99,0.0,RandomSurvivalForest,False
death,3,0.5977,,0.19818015279807924,,,99,0.0,RandomSurvivalForest,False
death,4,0.6714,,0.2172734543628241,,,98,0.0,RandomSurvivalForest,False
death,5,0.7335,,0.21475290368420571,,,98,0.0,RandomSurvivalForest,False
sex,1,0.8487,f1_weighted,,1.0,2,119,0.0,RidgeClassifier,False
sex,2,0.8151,f1_weighted,,1.0,2,119,0.0,RidgeClassifier,False
sex,3,0.7458,f1_weighted,,1.0,2,118,0.0,RidgeClassifier,False
sex,4,0.8729,f1_weighted,,1.0,2,118,0.0,RidgeClassifier,False
sex,5,0.8814,f1_weighted,,1.0,2,118,0.0,RidgeClassifier,False
